,Output Freq,Input Freq,Uplink Tone,Downlink Tone,Lat,Long,Call,,,IRLP
,442.27500,447.27500,,,32.73400116,-85.38240051,KE4TFI,1,1,
,442.30000,447.30000,110.9,,33.42979813,-87.15329742,W4WCA,1,1,
,442.32500,447.32500,77.0,,34.80970001,-87.68260193,W4UNA,1,,
,442.35000,447.35000,,,34.60589981,-86.98329926,W9KOP,1,1,
,442.37500,447.37500,156.7,156.7,34.73040009,-86.58609772,KC4HRX,,1,
,442.37500,447.37500,D411,D411,33.21789932,-87.52390289,K4CR,,1,4158
,442.40000,447.40000,,100.0,33.96839905,-86.00980377,K4JMC,1,1,
,442.42500,447.42500,,,33.48569870,-85.80909729,WB4GNA,1,,
,442.42500,447.42500,107.2,107.2,34.48120117,-87.29340363,N4IDX,1,1,
,442.45000,447.45000,100.0,100.0,34.17369843,-86.32360077,KK4CWX,1,1,
,442.47500,447.47500,131.8,131.8,34.86289978,-87.53749847,AB4RC,1,1,
,442.50000,447.50000,,,34.82559967,-87.29470062,KJ4LEL,1,1,
,442.55000,447.55000,100.0,,34.49430084,-85.84770203,KF4BCR,,1,
,442.55000,447.55000,173.8,,33.20980072,-87.56919861,KX4I,,1,
,442.57500,447.57500,100.0,100.0,33.50000000,-86.52999878,KD4CIF,1,,
,442.60000,447.60000,203.5,,34.91379929,-86.98349762,WV4K,1,1,
,442.60000,447.60000,100.0,100.0,34.44430161,-85.71970367,KF4FWZ,1,1,
,442.65000,447.65000,,,31.31520081,-85.85520172,KJ4OTP,1,,
,442.65000,447.65000,131.8,,33.68899918,-86.68329620,KA5GET,1,1,
,442.67500,447.67500,,,34.60589981,-86.98329926,W9KOP,1,1,
,442.72500,447.72500,71.9,71.9,34.12620163,-87.13829803,W4FSH,1,1,
,442.75000,447.75000,123.0,123.0,34.08150101,-86.59110260,N3AST,1,1,
,442.77500,447.77500,107.2,,34.79700089,-86.63919830,KB4CRG,1,1,
,442.80000,447.80000,162.2,,32.73400116,-85.38240051,W5MEI,,1,
,442.82500,447.82500,100.0,100.0,33.84527800,-86.88333300,KD4CIF,1,,
,442.85000,447.85000,,,34.80289841,-86.97170258,KD4NTK,1,1,
,442.87500,447.87500,123.0,123.0,33.81679916,-86.60079956,N3AST,1,1,
